Regiao - Sigla;Estado - Sigla;Municipio;Revenda;CNPJ da Revenda;Nome da Rua;Numero Rua;Complemento;Bairro;Cep;Produto;Data da Coleta;Valor de Venda;Valor de Compra;Unidade de Medida;Bandeira
CO;MS;CAMPO GRANDE;COMPANHIA ULTRAGAZ S A; 61.602.199/0024-09;RUA AMARO CASTRO LIMA;1852;;VILA NOVA CAMPO GRANDE;79106-361;GLP;20/04/2026;120;;R$ / 13 kg;ULTRAGAZ
NE;CE;JUAZEIRO DO NORTE;COMERCIO DE PETROLEO COLORADO LTDA; 00.198.451/0001-85;RUA DOMINGOS CALAZANS;518;;TRIANGULO;63041-130;GLP;21/04/2026;130;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;AC;RIO BRANCO;POSTO VILLAGE LTDA; 06.906.483/0001-74;AVENIDA ANTONIO DA ROCHA VIANA;S/N;LOTE 1, 2, 3, 4;VILAGE WILDE MACIEL;69918-480;GLP;22/04/2026;120;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO CIDADE LTDA; 06.321.359/0001-47;AVENIDA NACOES UNIDAS;2123;;7 BEC;69918-093;GLP;22/04/2026;120;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO DISTRITO LTDA.; 04.087.649/0001-42;RUA 03;S/N;LOTE:08 ZONA:A  ST:4;DISTRITO INDUSTRIAL;69917-100;GLP;22/04/2026;124;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;AUTO POSTO SANTO ANTONIO LTDA; 14.412.076/0001-39;RUA ISAURA PARENTE;3265;;EST EXPERIMENTAL;69908-210;GLP;22/04/2026;130,5;;R$ / 13 kg;FOGAS
N;AC;RIO BRANCO;POSTO FLORESTA E AGROPECUARIA LTDA; 04.767.269/0001-59;ESTRADA DA FLORESTA;684;;FLORESTA;69906-380;GLP;22/04/2026;116;;R$ / 13 kg;AMAZONGÁS
N;AC;RIO BRANCO;FREITAS COMERCIO DERIVADOS DE PETROLEO LTDA; 04.587.754/0001-40;AVENIDA CEARA;3491;;7O BEC;69918-108;GLP;22/04/2026;130;;R$ / 13 kg;FOGAS
NE;BA;ILHEUS;COMERCIAL SAVOIA LTDA; 02.366.787/0001-35;AVENIDA RAYMUNDO SA BARRETO;S/N;LOTES 26 27 E 28;JARDIM SAVOIA;45658-250;GLP;21/04/2026;147;;R$ / 13 kg;BAHIANA
NE;BA;JEQUIE;COM DE DER DE PETROLEO BARRETO LTDA; 34.214.809/0001-38;AVENIDA FRANZ GEDEON;250;;CENTRO;45200-130;GLP;20/04/2026;95;;R$ / 13 kg;BRANCA
NE;BA;JEQUIE;STOCK COMERCIO DE DERIVADOS DE PETROLEO LTDA; 13.707.245/0001-03;RUA BRIG SA BITENCOURT;5;;JEQUIEZINHO;45208-087;GLP;20/04/2026;120;;R$ / 13 kg;LIQUIGÁS
CO;DF;BRASILIA;AUTO SHOPPING DERIVADOS DE PETROLEO LTDA; 37.063.328/0009-14; QI 19 LOTES 02 E 04;S/N;SETOR INDUSTRIAL;TAGUATINGA;72120-190;GLP;21/04/2026;109,9;;R$ / 13 kg;BRANCA
CO;DF;BRASILIA;CASCOL COMBUSTIVEIS PARA VEICULOS LTDA; 00.306.597/0015-00;QUADRA QR 516 CONJUNTO 13B LOTE LOTE;1;;SAMAMBAIA SUL;70772-500;GLP;21/04/2026;107,99;;R$ / 13 kg;COPA ENERGIA
CO;GO;APARECIDA DE GOIANIA;AUTO POSTO BESSA LTDA; 02.568.878/0002-34;AVENIDA EUCLIDES DA CUNHA;SN;QD.01 LT.01/02/03 E 18;CIDADE SATELITE SAO LUIZ;74920-580;GLP;21/04/2026;110;;R$ / 13 kg;BRANCA
NE;MA;SAO LUIS;ANTONIA LIANE GOMES SOARES; 08.585.377/0001-61;AVENIDA LOURENCO VIEIRA DA SILVA;8;QUADRA 44-A;JARDIM SAO CRISTOVAO II;65055-380;GLP;23/04/2026;130;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0005-42;AVENIDA DOS HOLANDESES;S/N;;OLHO DAGUA;65065-180;GLP;20/04/2026;130;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;NICOLAU DERIVADOS DE PETROLEO LTDA; 35.196.823/0006-23;UNIDADE DUZENTOS E TRES;6000;;CIDADE OPERARIA;65058-000;GLP;22/04/2026;130;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;POSTO AMERICANO LTDA; 23.706.245/0005-68;AVENIDA DOS HOLANDESES;202;;OLHO D'AGUA;65065-180;GLP;20/04/2026;130;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;C. G. DE SOUSA LTDA; 69.425.734/0002-08;AVENIDA GUAJAJARA;205;;SAO CRISTOVAO;65055-285;GLP;22/04/2026;130;;R$ / 13 kg;LIQUIGÁS
NE;MA;SAO LUIS;LIMA COMERCIAL DE COMBUSTIVEIS LTDA; 69.418.101/0001-83;AVENIDA JERONIMO DE ALBUQUERQUE  MARANHAO;5;;COHAB ANIL I;65051-210;GLP;22/04/2026;119,9;;R$ / 13 kg;SUPERGASBRAS ENERGIA
SE;MG;GOVERNADOR VALADARES;POSTO DA ILHA LTDA; 64.310.709/0001-76;AVENIDA MUCURI;475;;ILHA DOS ARAUJOS;35020-370;GLP;24/04/2026;138;;R$ / 13 kg;BRANCA
SE;MG;JOAO PINHEIRO;AUTO POSTO RDG LTDA; 08.418.219/0001-17;RODOVIA BR 040;S/N;KM 143;MARIA JOSE DE PAULA;38770-000;GLP;23/04/2026;99;;R$ / 13 kg;BRANCA
SE;MG;JOAO PINHEIRO;SAYONARA COMERCIO DE PETROLEO LTDA; 23.761.448/0001-23;RODOVIA MARGENS RODOVIA BR 040 KM 143;SN;;CENTRO;38770-000;GLP;23/04/2026;109;;R$ / 13 kg;BRANCA
SE;MG;SAO SEBASTIAO DO PARAISO;JACARE AUTO POSTO LTDA; 20.423.562/0001-55;AVENIDA OLIVEIRA REZENDE;1016;;CENTRO;37950-000;GLP;23/04/2026;120;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;MS;CAMPO GRANDE;VITORIA COMERCIO E TRANSPORTES LTDA.; 02.422.918/0001-54;RUA GAL. BERTOLDO KLINGER;2616;;JARDIM FLUMINENSE;79116-020;GLP;20/04/2026;119;;R$ / 13 kg;COPA ENERGIA
CO;MS;CAMPO GRANDE;POSTO F5 LTDA; 05.990.575/0001-12;RUA DR. EULER DE AZEVEDO;3;;VILA OESTE;79116-610;GLP;20/04/2026;122;;R$ / 13 kg;COPA ENERGIA
CO;MS;CAMPO GRANDE;CAMPO GRANDE POSTO DE SERVICO LTDA; 24.610.891/0001-66;AVENIDA CAPIBARIBE;327;;SILVIA REGINA;79102-470;GLP;20/04/2026;125;;R$ / 13 kg;SUPERGASBRAS ENERGIA
CO;MS;CAMPO GRANDE;TROKAR POSTOS DE SERVICOS LTDA; 02.969.905/0001-08;RUA JOSE ANTONIO PEREIRA;260;;CENTRO;79002-400;GLP;21/04/2026;105;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;CAMPO GRANDE;AUTO POSTO CASTELO LTDA; 01.742.740/0001-66;RUA 14 DE JULHO;4763;;MONTE CASTELO;79010-470;GLP;20/04/2026;125;;R$ / 13 kg;COPA ENERGIA
CO;MS;CAMPO GRANDE;AUTO POSTO SHIMA LTDA; 01.330.663/0001-37;AVENIDA DAS BANDEIRAS;2197;;JARDIM JOQUEI CLUB;79080-001;GLP;21/04/2026;103;;R$ / 13 kg;NACIONAL GÁS BUTANO
CO;MS;DOURADOS;AUTO POSTO GUAICURUS LTDA; 06.278.577/0001-46;AVENIDA WEIMAR GONCALVES TORRES;490;;JARDIM TROPICAL;79820-080;GLP;22/04/2026;114;;R$ / 13 kg;COPA ENERGIA
CO;MS;DOURADOS;POSTO DE SERVICO SANTO ANTONIO LTDA; 00.212.779/0001-09;AVENIDA GUAICURUS;820;;PARQUE ALVORADA;79823-490;GLP;22/04/2026;115;;R$ / 13 kg;NACIONAL GÁS BUTANO
N;PA;ABAETETUBA;P CARVALHO & CIA LTDA; 14.140.909/0001-50;AVENIDA DOM PEDRO II;1610;;SANTA ROSA;68440-000;GLP;22/04/2026;118;;R$ / 13 kg;NACIONAL GÁS BUTANO
